county,private_school_count,private_enrollment,private_teachers_fte,avg_student_teacher_ratio,private_student_teacher_ratio,population,median_income,poverty_rate,bachelors_or_higher_pct,private_schools_per_100k,private_enrollment_per_100k
gonzales,1,18,3.6,5.0,5.0,19736.0,64255.0,13.072568193515183,13.086090638231143,5.066882853668423,91.20389136603161
gray,1,34,5.0,6.8,6.8,21272.0,54563.0,16.996412096360842,16.030154327572717,4.7010154193305755,159.83452425723956
grayson,4,526,58.7,9.3366845806,8.960817717206133,137008.0,66608.0,11.427189882834295,22.819626067221442,2.9195375452528323,383.9191872007474
gregg,12,1196,155.6,7.063494291683334,7.686375321336762,124245.0,63811.0,16.544634026744678,22.423433092878717,9.658336351563444,962.6141897058232
guadalupe,3,260,32.0,7.2724867725,8.125,173828.0,88111.0,8.705674171692007,29.539614283118613,1.7258439376855284,149.57314126607912
hale,1,87,16.4,5.3048780488,5.3048780487804885,32525.0,50721.0,18.512024876773957,14.802896218825424,3.0745580322828596,267.4865488086088
hamilton,1,5,1.0,5.0,5.0,8244.0,54890.0,17.143924302788843,25.05161734342739,12.1300339640951,60.65016982047549
hardin,1,144,16.0,9.0,9.0,56576.0,70164.0,13.459814223720546,18.46864479761998,1.7675339366515839,254.52488687782807
harris,232,42028,4845.3,7.922469190919397,8.67397271582771,4726177.0,70789.0,15.772336273074345,33.16698986804085,4.908830117873284,889.2599663533549
harrison,2,215,41.5,5.75351213285,5.180722891566265,69098.0,63427.0,16.338776606860318,22.198318442254077,2.8944397811803526,311.1522764768879
hartley,2,150,17.6,8.36842105265,8.522727272727272,5369.0,78065.0,6.944444444444445,25.28311176760217,37.250884708511826,2793.816353138387
hays,11,1366,109.9,11.032782271727273,12.429481346678799,245351.0,79990.0,12.925218677886738,40.363114507893066,4.483372800599957,556.7533859654128
henderson,1,175,19.4,9.0206185567,9.02061855670103,82627.0,59778.0,14.759629593143533,19.050796420811306,1.2102581480629817,211.7951759110218
hidalgo,20,1574,177.9,8.473287664234999,8.847667228780214,873167.0,49371.0,27.69962399748097,20.122965845954255,2.290512582358243,180.26334023159373
hill,2,29,4.6,6.4423076923,6.304347826086957,36138.0,60669.0,13.319106558543178,17.510072522159547,5.534340583319497,80.24793845813271
hockley,1,10,1.6,6.25,6.25,21495.0,53283.0,15.0708024275118,17.187270860830033,4.6522447080716445,46.52244708071645
hood,1,1,3.9,0.2564102564,0.25641025641025644,62459.0,80013.0,8.870104163286499,31.651396352744253,1.6010502889895772,1.6010502889895772
howard,2,87,14.4,5.972222222199999,6.041666666666666,34488.0,67243.0,14.500442086648983,13.81509924881447,5.799118533982835,252.26165622825332
hunt,1,223,21.4,10.420560748,10.420560747663552,101596.0,66885.0,12.242623216601816,21.331266581214415,0.9842907201070908,219.49683058388123
jackson,1,20,5.0,4.0,4.0,15010.0,67176.0,11.960267585647678,13.033104682373994,6.662225183211192,133.24450366422386
jasper,1,71,6.0,11.833333333,11.833333333333334,33032.0,48818.0,22.83861671469741,12.238544178908134,3.0273674013078224,214.9430854928554
jefferson,9,1483,162.89999999999998,9.644817571888888,9.103744628606508,254942.0,57294.0,18.193225117006637,19.90694172387221,3.5302147155039187,581.7009358991457
jim wells,2,127,10.9,8.92397660815,11.65137614678899,39060.0,46626.0,22.6226874643727,15.263030888030887,5.1203277009728625,325.14080901177675
johnson,10,968,88.2,11.17869168296,10.975056689342404,182690.0,77058.0,10.603706982467276,21.382193513794288,5.473753352673929,529.8593245388363
kaufman,3,328,45.6,5.8074494949333335,7.192982456140351,149773.0,84075.0,9.785920326422525,23.768149561879856,2.0030312539643327,218.99808376676702
kendall,4,918,162.9,6.9251298905750005,5.635359116022099,45376.0,104196.0,5.093606183816631,48.51162201532713,8.815232722143865,2023.095909732017
kerr,3,220,26.3,8.285020804433334,8.365019011406844,52810.0,66713.0,12.538478128737527,29.77236110389273,5.680742283658398,416.58776746828255
kleberg,2,99,12.0,7.55,8.25,30860.0,52487.0,30.566258428512455,22.95986524946274,6.480881399870383,320.8036292935839
lamar,2,162,16.3,11.36928104575,9.938650306748466,50149.0,58246.0,15.960523388678787,20.89146266561376,3.9881154160601406,323.0373487008714
lampasas,1,8,1.0,8.0,8.0,21829.0,73269.0,9.490333919156415,20.18514921991325,4.581061890146136,36.64849512116909
lavaca,3,573,58.3,9.464906783799998,9.828473413379074,20379.0,58530.0,10.23847856711612,19.556093049726115,14.721036360959813,2811.717944943324
lee,2,209,19.1,10.6799419901,10.94240837696335,17543.0,66448.0,13.16464552238806,16.58997335916687,11.400558627372742,1191.3583765604515
liberty,1,22,6.0,3.6666666667,3.6666666666666665,93523.0,59605.0,17.7203836158322,10.560421804575219,1.069255691113416,23.52362520449515
llano,1,60,10.4,5.7692307692,5.769230769230769,21637.0,64241.0,11.312111438320946,31.809401159047006,4.621712806766188,277.3027684059712
lubbock,15,2505,304.5,8.0695530601,8.226600985221674,311509.0,61911.0,17.215924864288127,32.62386809028247,4.815270184810069,804.1501208632817
marion,2,36,9.4,4.76041666665,3.829787234042553,9668.0,48040.0,15.703084161003659,16.258813770219827,20.68680182043856,372.36243276789406
