county,population,median_income,poverty_rate,bachelors_or_higher_pct,private_school_count,private_enrollment,private_teachers_fte,avg_student_teacher_ratio,private_student_teacher_ratio,private_schools_per_100k,private_enrollment_per_100k
brazos,234548,57562,24.307028382789593,43.202215706500105,12.0,1059.0,180.5,5.7888067960416665,5.867036011080333,5.116223544860754,451.50672783396146
brewster,9454,47747,15.650384490414817,47.69897887816478,3.0,134.0,19.8,6.755336617366667,6.767676767676767,31.732599957689867,1417.389464776814
briscoe,1290,35446,24.353954581049333,15.746421267893659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brooks,7059,30566,33.21630285452603,19.10866910866911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brown,38159,53792,13.284478483663012,19.886192342478143,2.0,60.0,22.9,4.47972972975,2.620087336244542,5.241227495479441,157.23682486438324
burleson,17958,71745,12.45903491919991,22.464668426774345,1.0,84.0,8.6,9.7674418605,9.767441860465116,5.568548836173293,467.75810223855666
burnet,49684,71482,7.834661067539472,28.117435117941792,3.0,376.0,44.1,6.420708955233334,8.526077097505668,6.038161178649061,756.7828677240158
caldwell,46141,66779,14.013319952559073,16.690661605915842,3.0,152.0,28.0,9.513888888766667,5.428571428571429,6.5018096703582495,329.4250232981513
calhoun,20127,62267,9.205020920502092,16.20530141713782,1.0,109.0,13.1,8.320610687,8.320610687022901,4.9684503403388485,541.5610870969344
callahan,13869,63906,8.790646693459992,22.87359868353389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cameron,421854,47435,25.34448807151126,19.47475102846931,14.0,2072.0,232.3,8.19347287605,8.919500645716745,3.3186837152190094,491.1651898524134
camp,12543,53968,21.534395771602465,20.7275390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carson,5801,83199,7.50260507120528,25.224071702944943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cass,28637,54303,18.498174988482937,17.223137196187054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
castro,7381,59886,12.440060282230442,19.493220715714603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chambers,47037,106103,13.702380697739086,22.789081554241424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cherokee,50824,56971,16.576884889198723,16.17325710180501,1.0,5.0,1.0,5.0,5.0,1.967574374311349,9.837871871556745
childress,6781,56063,15.083693812300169,14.640496695373523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clay,10290,75227,9.092696353091517,23.241306079108043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cochran,2529,41597,25.848142164781905,8.52575488454707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coke,3305,40230,16.509136735979837,19.49685534591195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coleman,7808,51034,17.113615753335925,20.651395848246242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collin,1079153,113255,6.322078916289731,54.289836202035765,68.0,12861.0,1082.7,11.905969568410294,11.878636741479633,6.301238100621506,1191.7679884131353
collingsworth,2865,52045,22.34576757532281,25.195968645016798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colorado,20582,63352,7.451862965741435,22.172268607721403,2.0,231.0,26.0,8.6831753977,8.884615384615385,9.71722864639005,1122.3399086580507
comal,165201,93744,6.100544887635993,40.53736196265966,11.0,2130.0,229.8,10.086551760618182,9.268929503916448,6.658555335621456,1289.3384422612455
comanche,13651,57383,13.528009535160907,18.876755070202808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
concho,3235,55750,15.928837401737692,11.560226354082458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cooke,41860,66374,13.32863016031333,23.270065835551197,2.0,281.0,31.6,8.7908748502,8.89240506329114,4.777830864787386,671.2852365026279
coryell,82927,63281,10.612318189980249,17.30317778413971,1.0,7.0,1.1,6.3636363636,6.363636363636363,1.205879870247326,8.441159091731281
cottle,1647,47625,24.104432301153615,18.322698268003645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crane,4636,71364,3.8103677447939743,15.653075328265375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crockett,2949,64103,9.314404432132964,15.61433447098976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crosby,5157,50268,23.575949367088608,14.034573688836801,0.0,0.0,0.0,0.0,0.0,0.0,0.0
culberson,2181,35924,22.160664819944596,10.485781990521327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dallam,7165,71969,8.562865705722848,14.304902619207521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dallas,2604053,70732,13.982521556656133,33.883096896348306,149.0,28733.0,3606.4,8.664596478733555,7.967224933451641,5.72184974729777,1103.395361000717
dawson,12342,45268,24.78277295051001,13.498026232013244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deaf smith,18585,51942,15.84239575933111,11.831532280410086,1.0,59.0,13.1,4.5038167939,4.5038167938931295,5.380683346785042,317.46031746031747
delta,5278,68491,14.11313518696069,21.484692495258738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
denton,914870,104180,7.416557225653711,47.86627476908373,34.0,5963.0,634.6,8.453368824211765,9.396470217459816,3.716375004098943,651.786592630647
