county,public_student_count,district_count,avg_econ_disadv_pct,avg_attendance_rate,avg_chronic_absenteeism_rate,avg_ccmr_rate,avg_graduation_rate
carson,1071.0,3.0,28.08216619981326,95.00046685340803,13.184126984126985,52.59906629318394,96.99010270774976
cass,5265.0,7.0,60.0075403608737,94.26279202279201,17.507369420702755,40.24714150047484,98.63082621082621
castro,1524.0,3.0,69.57906824146981,94.39947506561681,14.31476377952756,46.63300524934383,96.8257874015748
chambers,10957.0,3.0,37.20527516656019,94.84336953545679,11.537263849593868,42.875960573149584,99.22793647896322
cherokee,8015.0,5.0,80.11777916406739,94.60104803493451,14.482245789145352,33.99006862133499,94.77733000623832
childress,977.0,1.0,57.1,94.7,16.5,13.4,94.3
clay,1760.0,4.0,51.609545454545454,95.07159090909092,12.333352272727275,62.979034090909096,96.30460227272728
cochran,665.0,2.0,65.87639097744362,95.15729323308271,11.431879699248121,24.35593984962406,96.56902255639098
coke,501.0,2.0,43.70558882235529,94.7241516966068,15.612774451097803,38.65768463073852,97.74491017964071
coleman,1216.0,3.0,53.21669407894737,93.7624177631579,19.517269736842106,15.119572368421052,93.38873355263158
collin,249800.0,16.0,24.723519215372296,94.91054683746997,11.775001200960768,21.572785236244137,97.67149320722959
collingsworth,534.0,1.0,63.3,96.6,6.0,10.5,97.4
colorado,3643.0,3.0,64.9475706835026,94.63368103211639,15.113834751578368,54.548970628602795,96.76458962393632
comal,39924.0,3.0,31.225503456567477,94.09775323113915,16.116779380823566,26.105740907724677,97.32534565674783
comanche,2253.0,4.0,56.84460719041278,95.35974256546827,10.689214380825566,39.17727474478473,95.33417665335108
concho,519.0,2.0,75.1300578034682,94.74450867052023,13.451637764932562,22.967244701348747,97.95606936416185
cooke,6775.0,8.0,48.528088560885614,94.74271586715868,13.925579335793358,21.762695783132532,99.2792921686747
coryell,11174.0,5.0,55.462976552711645,93.47155002684805,19.54777161267228,35.462018972615,91.18657597995345
cottle,153.0,1.0,68.0,94.9,11.2,83.3,100.0
crane,1233.0,1.0,54.7,93.8,17.4,3.7,97.5
crockett,618.0,1.0,64.1,95.4,12.3,14.700000000000001,100.0
crosby,889.0,3.0,82.26197975253093,93.2748031496063,22.603824521934758,15.290663667041619,94.34049493813274
culberson,381.0,1.0,78.5,90.5,40.8,25.0,100.0
dallam,2048.0,2.0,70.32890625,94.287109375,13.414892578125,34.44716796875,98.306884765625
dallas,484359.0,44.0,74.41209103165214,93.45591947295291,19.449684841202497,27.731179712744236,91.12489123810813
dawson,2105.0,4.0,67.93847980997624,92.68099762470308,25.18669833729216,12.38289786223278,95.73515439429929
deaf smith,4097.0,2.0,79.5592140590676,92.70334391017818,22.044081034903588,12.6,94.0
delta,1043.0,2.0,69.9816874400767,94.12962607861938,16.61706615532119,60.35647171620326,98.64813039309684
denton,147313.0,15.0,36.569726364950824,94.99864843702123,11.940428414824297,23.271347683796844,96.90849211642795
dewitt,4262.0,6.0,56.39561238854998,94.64645706241201,15.060980760206474,36.06093077825577,61.70204846365226
dickens,280.0,2.0,60.71714285714285,94.82,10.94857142857143,9.01142857142857,68.25714285714285
dimmit,1842.0,1.0,76.5,89.7,34.6,45.9,83.7
donley,494.0,2.0,54.84412955465587,94.5012145748988,13.726720647773279,34.70485829959514,97.64595141700404
duval,2344.0,4.0,87.70401023890786,91.18306313993173,29.779479522184303,49.49267764298093,92.31572790294628
eastland,2508.0,5.0,58.05275119617225,94.40582137161086,16.185446570972886,19.972009569377988,98.48022328548645
ector,35188.0,2.0,72.27224622030236,92.24168466522679,25.901187904967603,37.559935205183585,88.22948164146868
edwards,436.0,2.0,70.38853211009173,94.40206422018349,14.176834862385322,3.9708715596330273,100.0
el paso,160002.0,16.0,74.42320845989424,92.97733528330895,20.898900013749827,28.172022991693243,89.48803083206231
ellis,45543.0,11.0,53.14626397031377,94.63301275717455,13.872298706716728,21.14700612607865,96.75555189601037
erath,13861.0,9.0,59.263581271192564,91.39511579251136,29.98945242046028,22.21354303189166,76.72627785058977
falls,2355.0,4.0,79.00390658174096,94.24114649681528,17.050743099787685,21.114207650273226,97.9771402550091
fannin,5513.0,8.0,56.838908035552336,94.8442408851805,14.025612189370579,31.840359151097406,98.24384182840559
fayette,3749.0,5.0,53.00186716457722,95.28580954921313,11.89221125633502,32.426993865030674,96.7239263803681
fisher,568.0,2.0,47.208450704225356,94.8774647887324,13.832394366197182,26.601408450704227,97.75915492957746
floyd,1062.0,2.0,72.840395480226,94.26318267419963,16.36864406779661,67.60668549905839,97.2831450094162
foard,189.0,1.0,58.2,96.8,3.6,64.3,100.0
fort bend,133325.0,4.0,46.51333433339584,94.77581548846801,13.294012375773486,20.045890118132384,94.24457603600226
franklin,1606.0,1.0,57.29999999999999,94.7,14.199999999999998,62.70000000000001,95.5
freestone,3509.0,4.0,55.01587346822457,94.24730692504987,15.99504132231405,25.163151587777115,95.92669263031755
frio,2787.0,2.0,82.2627915321134,90.69052744886976,34.63789020452099,26.322461428058844,95.45683530678149
gaines,3753.0,3.0,62.53812949640288,93.68001598721024,18.059792166266984,54.400959232613914,94.15123900879297
galveston,80569.0,10.0,48.05195546674278,93.76556616068214,17.718030508011765,19.104079399034877,96.48761380030844
garza,818.0,2.0,71.03227383863081,92.70660146699267,26.50220048899756,0.0,97.98728606356967
gillespie,3628.0,3.0,58.07861080485115,95.07254685777288,11.288919514884235,23.47161862527716,97.74151884700665
glasscock,293.0,1.0,6.1,96.4,6.5,61.900000000000006,100.0
goliad,1238.0,1.0,44.6,94.7,13.8,29.6,95.9
gonzales,3868.0,3.0,75.51509824198551,92.63684074457083,25.649172699069286,45.751008273009305,94.59935367114788
gray,3529.0,4.0,62.43128364975914,92.44978747520544,25.122187588552,32.83477011494253,91.82830459770115
grayson,25745.0,13.0,52.82439308603612,94.09277141192464,16.549069722276172,29.837277141192462,96.71435618566713
gregg,22861.0,8.0,68.76087222781157,95.25446393421109,12.938077949346049,27.78064389134334,97.54201478500504
grimes,4936.0,4.0,63.163371150729326,93.97429092382495,16.839201782820098,21.417524311183143,96.25
guadalupe,26579.0,4.0,44.18094360209188,93.36960382256669,19.81360848790398,21.484833891418038,95.0058166221453
