county,population,median_income,poverty_rate,bachelors_or_higher_pct
coryell,82927,63281,10.612318189980249,17.30317778413971
cottle,1647,47625,24.104432301153615,18.322698268003645
crane,4636,71364,3.8103677447939743,15.653075328265375
crockett,2949,64103,9.314404432132964,15.61433447098976
crosby,5157,50268,23.575949367088608,14.034573688836801
culberson,2181,35924,22.160664819944596,10.485781990521327
dallam,7165,71969,8.562865705722848,14.304902619207521
dallas,2604053,70732,13.982521556656133,33.883096896348306
dawson,12342,45268,24.78277295051001,13.498026232013244
deaf smith,18585,51942,15.84239575933111,11.831532280410086
delta,5278,68491,14.11313518696069,21.484692495258738
denton,914870,104180,7.416557225653711,47.86627476908373
dewitt,19826,61100,16.53442109968708,14.063396442914517
dickens,1570,46638,12.273641851106639,20.18739352640545
dimmit,8672,27374,43.568755846585596,14.586070959264127
donley,3298,51711,11.310531662715881,13.503480278422275
duval,9960,50697,21.579116293998073,7.821316614420063
eastland,17812,52902,16.191602602010644,22.857377858200362
ector,162300,70566,15.783595592547762,16.602714857449357
edwards,1380,40809,23.40267459138187,19.024970273483948
ellis,195509,93248,8.195068481818323,27.869294951692165
el paso,863832,55417,19.50623152662989,25.01265945778281
erath,42788,59654,16.54137203820866,32.36157385372045
falls,17013,45172,15.849953770968167,13.476949590693666
fannin,36052,65835,12.831617201695941,20.57183533040693
fayette,24564,72881,10.16042780748663,24.059983337961675
fisher,3680,60461,12.17966381923395,19.900306748466257
floyd,5386,49321,19.02621722846442,16.02637614678899
foard,1075,41944,22.0703125,16.045845272206304
fort bend,832607,109987,6.925968627982909,48.62033262753365
franklin,10445,67915,8.623693379790941,30.717794759825328
freestone,19599,55902,12.658227848101266,17.38158748468027
frio,18151,56042,20.662224639651892,8.516084990186876
gaines,21523,73299,12.660713450839218,10.398628375482213
galveston,350801,83913,11.018453523921128,33.805945879739326
garza,5735,56215,15.389972144846798,13.275613275613276
gillespie,26953,70162,9.070405593354133,35.233265720081135
glasscock,1068,112188,5.2434456928838955,37.75372124492557
goliad,7092,58125,9.982837528604119,17.842981760507534
gonzales,19736,64255,13.072568193515183,13.086090638231143
gray,21272,54563,16.996412096360842,16.030154327572717
grayson,137008,66608,11.427189882834295,22.819626067221442
gregg,124245,63811,16.544634026744678,22.423433092878717
grimes,29442,63484,14.374613481756338,19.425030978934323
guadalupe,173828,88111,8.705674171692007,29.539614283118613
hale,32525,50721,18.512024876773957,14.802896218825424
hall,2847,43873,18.56887298747764,18.200202224469162
hamilton,8244,54890,17.143924302788843,25.05161734342739
hansford,5270,62350,8.355795148247978,29.57875457875458
hardeman,3541,60455,11.174785100286533,17.428224828143954
hardin,56576,70164,13.459814223720546,18.46864479761998
harris,4726177,70789,15.772336273074345,33.16698986804085
harrison,69098,63427,16.338776606860318,22.198318442254077
hartley,5369,78065,6.944444444444445,25.28311176760217
haskell,5408,52786,15.038910505836576,20.161493817814787
hays,245351,79990,12.925218677886738,40.363114507893066
hemphill,3371,67798,6.1408789885611075,23.297966401414676
henderson,82627,59778,14.759629593143533,19.050796420811306
hidalgo,873167,49371,27.69962399748097,20.122965845954255
hill,36138,60669,13.319106558543178,17.510072522159547
hockley,21495,53283,15.0708024275118,17.187270860830033
hood,62459,80013,8.870104163286499,31.651396352744253
hopkins,37008,63766,13.398576023311435,21.596055954146458
houston,22107,51043,17.609603340292278,14.775094987130776
howard,34488,67243,14.500442086648983,13.81509924881447
hudspeth,3329,35163,25.441116126384898,10.347903657448706
hunt,101596,66885,12.242623216601816,21.331266581214415
hutchinson,20595,62211,10.360713585571457,15.605825386264508
irion,1561,54708,7.431133888532991,18.367346938775512
jack,8588,58861,14.499272390527848,15.545283341893512
jackson,15010,67176,11.960267585647678,13.033104682373994
jasper,33032,48818,22.83861671469741,12.238544178908134
jeff davis,1992,38125,24.602767811378783,27.845777233782133
jefferson,254942,57294,18.193225117006637,19.90694172387221
jim hogg,4830,42292,29.002764193068252,12.751127511275111
jim wells,39060,46626,22.6226874643727,15.263030888030887
johnson,182690,77058,10.603706982467276,21.382193513794288
jones,19758,59361,14.196118940455987,11.158124616119567
karnes,14805,57798,21.000535045478866,16.275248864405143
kaufman,149773,84075,9.785920326422525,23.768149561879856
kendall,45376,104196,5.093606183816631,48.51162201532713
kenedy,116,45455,2.586206896551724,8.045977011494253
kent,635,68553,7.958477508650519,27.876106194690266
kerr,52810,66713,12.538478128737527,29.77236110389273
kimble,4316,62386,12.42060691601976,27.856468366383382
king,216,59375,27.77777777777778,30.625000000000004
kinney,3157,52386,15.62287270251872,13.288643533123029
kleberg,30860,52487,30.566258428512455,22.95986524946274
knox,3333,48750,11.426787386824852,14.155844155844155
lamar,50149,58246,15.960523388678787,20.89146266561376
lamb,13024,54519,17.44940220364148,12.875379939209727
lampasas,21829,73269,9.490333919156415,20.18514921991325
