school_name,state,county,city,zip_code,students,teachers_fte,student_teacher_ratio,religion_code,school_level_code
ST IGNATIUS MARTYR  CATHOLIC SCHOOL,TX,travis,Austin,78704,162,12.3,13.170731707,1,1
ST AUSTIN CATHOLIC SCHOOL,TX,travis,Austin,78704,178,17.9,9.9441340782,1,1
ST JOSEPH CATHOLIC ACADEMY,TX,bell,Killeen,76543,198,14.0,14.142857143,1,3
ST LOUIS CATHOLIC SCHOOL,TX,travis,Austin,78757,249,20.9,11.913875598,1,1
ST MARY CATHOLIC SCHOOL,TX,orange,Orange,77630,65,12.3,5.2845528455,1,1
ST PATRICK CATHOLIC SCHOOL,TX,angelina,Lufkin,75901,53,10.9,4.8623853211,1,1
ST ANTHONY CATHEDRAL BASILICA SCHOOL,TX,jefferson,Beaumont,77701,167,16.8,9.9404761905,1,1
ST ANNE CATHOLIC SCHOOL,TX,jefferson,Beaumont,77702,511,66.3,7.7073906486,1,1
MONSIGNOR KELLY CATHOLIC SCHOOL,TX,jefferson,Beaumont,77707,341,34.3,9.9416909621,1,2
ST JOSEPH CATHOLIC SCHOOL,TX,hidalgo,Edinburg,78539,86,11.3,7.610619469,1,1
ST MARY'S CATHOLIC SCHOOL,TX,cameron,Brownsville,78520,312,22.0,14.181818182,1,1
ST JOSEPH ACADEMY,TX,cameron,Brownsville,78520,401,38.0,10.552631579,1,2
ST ANTHONY CATHOLIC SCHOOL,TX,cameron,Harlingen,78550,72,9.0,8.0,1,1
BLESSED SACRAMENT SCHOOL,TX,webb,Laredo,78043,269,15.0,17.933333333,1,1
ST ANTHONY SCHOOL,TX,nueces,Robstown,78380,107,10.0,10.7,1,1
ST PATRICK SCHOOL,TX,nueces,Corpus Christi,78411,200,25.0,8.0,1,1
OUR LADY OF PERPETUAL HELP ACADEMY,TX,nueces,Corpus Christi,78412,120,11.0,10.909090909,1,1
MARY HELP OF CHRISTIANS SCHOOL,TX,webb,Laredo,78041,344,35.0,9.8285714286,1,1
ST PIUS X CATHOLIC SCHOOL,TX,nueces,Corpus Christi,78412,109,7.6,14.342105263,1,1
SS. CYRIL & METHODIUS CATHOLIC SCHOOL,TX,nueces,Corpus Christi,78415,100,6.0,16.666666667,1,1
ST ELIZABETH CATHOLIC SCHOOL,TX,jim wells,Alice,78332,118,9.0,13.111111111,1,1
MOST PRECIOUS BLOOD CATHOLIC SCHOOL,TX,nueces,Corpus Christi,78415,115,12.3,9.3495934959,1,1
ST MARY S CATHOLIC SCHOOL,TX,gregg,Longview,75605,157,24.0,6.5416666667,1,3
ST PAUL CATHOLIC CLASSICAL SCHOOL,TX,dallas,Richardson,75080,102,14.6,6.9863013699,1,1
ST MARYS CATHOLIC SCHOOL,TX,grayson,Sherman,75090,140,12.5,11.2,1,1
HOLY FAMILY CATHOLIC ACADEMY,TX,dallas,Irving,75062,114,13.3,8.5714285714,1,1
IMMACULATE CONCEPTION SCHOOL,TX,dallas,Grand Prairie,75050,116,11.6,10.0,1,1
ST THOMAS AQUINAS CATHOLIC SCHOOL,TX,dallas,Dallas,75214,803,80.9,9.9258343634,1,1
ST RITA CATHOLIC SCHOOL,TX,dallas,Dallas,75244,701,55.0,12.745454545,1,1
ST PIUS X CATHOLIC SCHOOL,TX,dallas,Dallas,75228,157,20.0,7.85,1,1
ST PATRICK CATHOLIC SCHOOL,TX,dallas,Dallas,75238,360,28.9,12.456747405,1,1
ST MONICA CATHOLIC SCHOOL,TX,dallas,Dallas,75229,688,58.8,11.700680272,1,1
ST MARY OF CARMEL SCHOOL,TX,dallas,Dallas,75212,134,11.8,11.355932203,1,1
ST ELIZABETH OF HUNGARY CATHOLIC SCHOOL,TX,dallas,Dallas,75224,177,20.6,8.5922330097,1,1
ST BERNARD OF CLAIRVAUX SCHOOL,TX,dallas,Dallas,75218,128,14.3,8.951048951,1,1
ST PHILIP & ST. AUGUSTINE CATHOLIC ACADEMY,TX,dallas,Dallas,75227,276,27.0,10.222222222,1,1
OUR LADY OF PERPETUAL HELP SCHOOL,TX,dallas,Dallas,75235,147,12.8,11.484375,1,1
MARY IMMACULATE CATHOLIC SCHOOL,TX,dallas,Farmers Branch,75234,384,29.6,12.972972973,1,1
JESUIT COLLEGE PREP SCHOOL,TX,dallas,Dallas,75244,1143,120.0,9.525,1,2
HOLY TRINITY CATHOLIC SCHOOL,TX,dallas,Dallas,75219,109,12.6,8.6507936508,1,1
BISHOP DUNNE CATHOLIC SCHOOL,TX,dallas,Dallas,75224,377,42.6,8.8497652582,1,2
ST PATRICK CATHEDRAL SCHOOL,TX,el paso,El Paso,79902,133,13.0,10.230769231,1,1
MOST HOLY TRINITY SCHOOL,TX,el paso,El Paso,79924,127,11.0,11.545454545,1,1
FATHER YERMO  SCHOOLS,TX,el paso,El Paso,79905,121,10.6,11.41509434,1,3
CATHEDRAL HIGH SCHOOL,TX,el paso,El Paso,79902,383,29.4,13.027210884,1,2
ALL SAINTS CATHOLIC SCHOOL,TX,tarrant,Fort Worth,76164,113,11.0,10.272727273,1,1
CASSATA HIGH SCHOOL,TX,tarrant,Fort Worth,76104,113,7.0,16.142857143,1,2
HOLY FAMILY CATHOLIC SCHOOL,TX,tarrant,Fort Worth,76107,93,12.1,7.6859504132,1,1
NOLAN CATHOLIC HIGH SCHOOL,TX,tarrant,Fort Worth,76103,760,74.0,10.27027027,1,2
ST ANDREW CATHOLIC,TX,tarrant,Fort Worth,76109,516,38.0,13.578947368,1,1
ST GEORGE CATHOLIC SCHOOL,TX,tarrant,Fort Worth,76111,91,13.6,6.6911764706,1,1
ST JOHN THE APOSTLE CATHOLIC,TX,tarrant,North Richland Hills,76180,141,19.0,7.4210526316,1,1
ST RITA CATHOLIC SCHOOL,TX,tarrant,Fort Worth,76112,114,12.5,9.12,1,1
ST MARY SCHOOL,TX,cooke,Gainesville,76240,99,11.8,8.3898305085,1,1
OUR LADY OF FATIMA CATHOLIC SCHOOL,TX,galveston,Texas City,77590,37,6.0,6.1666666667,1,1
OUR LADY OF GUADALUPE SCHOOL,TX,harris,Houston,77003,183,15.0,12.2,1,1
ST CECILIA CATHOLIC SCHOOL,TX,harris,Houston,77024,530,50.4,10.515873016,1,1
ASSUMPTION CATHOLIC SCHOOL,TX,harris,Houston,77037,218,13.0,16.769230769,1,1
ST AGNES ACADEMY COLLEGE PREPARATORY,TX,harris,Houston,77036,922,94.1,9.7980871413,1,2
ST AUGUSTINE CATHOLIC SCHOOL,TX,harris,Houston,77017,123,16.8,7.3214285714,1,1
ST FRANCIS DE SALES SCHOOL,TX,harris,Houston,77036,213,21.3,10.0,1,1
ST JEROME CATHOLIC SCHOOL,TX,harris,Houston,77080,127,15.6,8.141025641,1,1
ST PIUS X HIGH SCHOOL,TX,harris,Houston,77091,534,40.8,13.088235294,1,2
STRAKE JESUIT COLLEGE PREP SCHOOL,TX,harris,Houston,77036,1337,122.8,10.88762215,1,2
ST ROSE OF LIMA CATHOLIC SCHOOL,TX,harris,Houston,77018,303,40.6,7.4630541872,1,1
INCARNATE WORD ACADEMY,TX,harris,Houston,77002,311,38.3,8.1201044386,1,2
HOLY GHOST CATHOLIC SCHOOL,TX,harris,Houston,77081,128,11.0,11.636363636,1,1
CORPUS CHRISTI CATHOLIC SCHOOL,TX,harris,Houston,77025,135,14.9,9.0604026846,1,1
OUR LADY OF LOURDES CATHOLIC SCHOOL,TX,galveston,Hitchcock,77563,47,8.9,5.2808988764,1,1
ST JOSEPH CATHOLIC SCHOOL,TX,harris,Baytown,77520,89,9.9,8.9898989899,1,1
HOLY ROSARY CATHOLIC SCHOOL,TX,fort bend,Rosenberg,77471,125,13.4,9.328358209,1,1
ST THOMAS MORE PARISH SCHOOL,TX,harris,Houston,77096,275,32.9,8.358662614,1,1
HOLY FAMILY CATHOLIC SCHOOL,TX,galveston,Galveston,77550,51,9.0,5.6666666667,1,1
SACRED HEART CATHOLIC SCHOOL,TX,harris,Crosby,77532,103,11.4,9.0350877193,1,1
ST AMBROSE SCHOOL,TX,harris,Houston,77092,206,26.6,7.7443609023,1,1
ST EDWARD CATHOLIC SCHOOL,TX,harris,Spring,77389,178,14.4,12.361111111,1,1
ST VINCENT DE PAUL CATHOLIC SCHOOL,TX,harris,Houston,77025,470,30.1,15.61461794,1,1
ANGELO CATHOLIC SCHOOL,TX,tom green,San Angelo,76904,87,11.0,7.9090909091,1,1
ST MARYS CENTRAL CATHOLIC SCHOOL,TX,ector,Odessa,79761,193,14.0,13.785714286,1,1
ST ANN S SCHOOL,TX,midland,Midland,79701,374,3.0,124.66666667,1,1
ST JOHNS EPISCOPAL SCHOOL,TX,taylor,Abilene,79605,94,13.9,6.7625899281,2,1
ST ANDREW'S EPISCOPAL SCHOOL,TX,potter,Amarillo,79102,215,25.0,8.6,2,1
ST PHILIP'S EPISCOPAL SCHOOL,TX,uvalde,Uvalde,78801,29,6.0,4.8333333333,2,1
ST STEPHENS EPISCOPAL SCHOOL,TX,travis,Austin,78746,699,86.5,8.0809248555,2,2
ST ANDREW'S EPISCOPAL SCHOOL,TX,travis,Austin,78705,973,129.8,7.4961479199,2,3
EPISCOPAL DAY SCHOOL,TX,cameron,Brownsville,78520,184,21.0,8.7619047619,2,1
ST LUKES EPISCOPAL SCHOOL,TX,bexar,San Antonio,78209,213,27.3,7.8021978022,2,1
ALL SAINTS EPISCOPAL SCHOOL,TX,jefferson,Beaumont,77726,280,30.0,9.3333333333,2,1
ST FRANCIS EPISCOPAL SCHOOL,TX,harris,Houston,77024,696,73.9,9.4181326116,2,3
GOOD SHEPHERD EPISCOPAL SCHOOL,TX,dallas,Dallas,75229,512,51.9,9.8651252408,2,1
CHRIST ACADEMY,TX,wichita,Wichita Falls,76310,178,18.9,9.417989418,2,3
GATEWAY CHRISTIAN SCHOOL,TX,bexar,San Antonio,78242,55,9.8,5.612244898,2,3
ALCUIN SCHOOL,TX,dallas,Dallas,75230,404,64.9,6.2249614792,3,3
LYDIA PATTERSON INSTITUTE,TX,el paso,El Paso,79901,250,19.0,13.157894737,2,2
KENMONT MONTESSORI SCHOOL,TX,cameron,Brownsville,78520,270,27.0,10.0,3,1
TRINITY LUTHERAN SCHOOL,TX,harris,Spring,77379,437,32.8,13.323170732,2,1
TRINITY LUTHERAN SCHOOL,TX,tom green,San Angelo,76904,98,12.3,7.9674796748,2,3
ST PAUL LUTHERAN SERBIN SCHOOL,TX,lee,Giddings,78942,72,8.3,8.6746987952,2,1
TRINITY LUTHERAN SCHOOL,TX,potter,Amarillo,79106,38,6.5,5.8461538462,2,1
OUR REDEEMER LUTHERAN SCHOOL,TX,dallas,Dallas,75225,87,11.3,7.6991150442,2,1
REDEEMER LUTHERAN SCHOOL,TX,travis,Austin,78757,399,31.8,12.547169811,2,1
ST PAUL LUTHERAN SCHOOL,TX,nueces,Bishop,78343,21,3.0,7.0,2,1
CONCORDIA LUTHERAN SCHOOL,TX,bexar,San Antonio,78258,328,43.8,7.4885844749,2,1
ST MARK LUTHERAN SCHOOL,TX,harris,Houston,77055,244,24.0,10.166666667,2,1
ST PAUL LUTHERAN SCHOOL,TX,hidalgo,Mcallen,78501,110,11.6,9.4827586207,2,1
ST PAUL LUTHERAN SCHOOL,TX,tarrant,Fort Worth,76102,188,12.0,15.666666667,2,1
THE LAMPLIGHTER SCHOOL,TX,dallas,Dallas,75229,332,59.0,5.6271186441,3,1
RADFORD SCHOOL,TX,el paso,El Paso,79903,216,27.9,7.7419354839,3,3
ZION LUTHERAN SCHOOL,TX,williamson,Georgetown,78626,206,15.1,13.642384106,2,1
DALLAS LUTHERAN SCHOOL,TX,dallas,Dallas,75243,164,14.4,11.388888889,2,2
TRINITY EPISCOPAL SCHOOL,TX,victoria,Victoria,77901,239,16.0,14.9375,2,1
CALVARY EPISCOPAL PREPARATORY,TX,fort bend,Richmond,77469,162,24.1,6.7219917012,2,3
ST THOMAS THE APOSTLE EPISCOPAL SCHOOL,TX,harris,Houston,77058,68,11.8,5.7627118644,2,1
ALL SAINTS EPISCOPAL SCHOOL,TX,smith,Tyler,75701,616,64.3,9.5800933126,2,3
TRINITY EPISCOPAL SCHOOL,TX,harrison,Marshall,75672,111,14.5,7.6551724138,2,1
CHRIST EPISCOPAL SCHOOL,TX,nacogdoches,Nacogdoches,75961,65,10.8,6.0185185185,2,1
ST JAMES EPISCOPAL SCHOOL,TX,nueces,Corpus Christi,78401,155,25.0,6.2,2,1
ST GEORGE EPISCOPAL SCHOOL,TX,bexar,San Antonio,78213,499,53.6,9.3097014925,2,1
EPIPHANY MONTESSORI SCHOOL,TX,kleberg,Kingsville,78363,13,2.0,6.5,2,1
ST JOHNS EPISCOPAL DAY SCHOOL,TX,hidalgo,Mcallen,78501,154,15.8,9.746835443,2,1
TMI EPISCOPAL,TX,bexar,San Antonio,78257,499,54.8,9.1058394161,2,2
MARINE MILITARY ACADEMY,TX,cameron,Harlingen,78550,225,26.1,8.6206896552,3,2
ZION LUTHERAN SCHOOL,TX,dallas,Dallas,75214,156,15.0,10.4,2,1
ST PHILIPS EPISCOPAL SCHOOL,TX,bee,Beeville,78102,52,12.6,4.126984127,2,1
ST JAMES DAY SCHOOL,TX,bowie,Texarkana,75503,115,14.5,7.9310344828,2,1
PRESBYTERIAN PAN AMERICAN SCHOOL,TX,kleberg,Kingsville,78364,86,10.0,8.6,2,2
HIGHLANDER SCHOOL,TX,dallas,Dallas,75238,94,12.0,7.8333333333,2,1
ST PAUL LUTHERAN SCHOOL,TX,milam,Thorndale,76577,81,7.9,10.253164557,2,1
GRACE LUTHERAN SCHOOL,TX,washington,Brenham,77833,51,5.0,10.2,2,1
ST CYPRIAN'S EPISCOPAL SCHOOL,TX,angelina,Lufkin,75904,111,19.0,5.8421052632,2,3
OUR SAVIOR LUTHERAN SCHOOL,TX,harris,Houston,77091,241,14.4,16.736111111,2,1
IMMANUEL LUTHERAN SCHOOL,TX,lee,Giddings,78942,137,10.8,12.685185185,2,1
SUNSHINE COTTAGE SCHOOL FOR DEAF CHILDREN,TX,bexar,San Antonio,78212,124,25.8,4.8062015504,3,1
PRESBYTERIAN DAY SCHOOL,TX,victoria,Victoria,77901,4,1.0,4.0,2,1
PANTEGO CHRISTIAN ACADEMY  - ARLINGTON CAMPUS,TX,tarrant,Arlington,76013,473,49.0,9.6530612245,2,3
ALLEN ACADEMY,TX,brazos,Bryan,77802,275,55.6,4.9460431655,3,3
SCHOOL OF THE WOODS,TX,harris,Houston,77055,522,38.6,13.523316062,3,3
GARLAND CHRISTIAN ACADEMY,TX,dallas,Garland,75040,246,18.9,13.015873016,2,3
HEALY-MURPHY CENTER,TX,bexar,San Antonio,78202,128,17.0,7.5294117647,3,2
HIGHLAND PARK PRESBYTERIAN DAY SCHOOL,TX,dallas,Dallas,75205,22,4.0,5.5,2,1
MEMORIAL HALL SCHOOL,TX,harris,Houston,77092,19,9.0,2.1111111111,3,2
SAN MARCOS BAPTIST ACADEMY,TX,hays,San Marcos,78666,296,31.8,9.3081761006,2,3
ST JAMES EPISCOPAL SCHOOL,TX,val verde,Del Rio,78841,97,7.6,12.763157895,2,1
TEMPLE CHRISTIAN SCHOOLS,TX,tarrant,Fort Worth,76120,338,45.0,7.5111111111,2,3
THE TENNEY SCHOOL,TX,harris,Houston,77063,55,23.0,2.3913043478,3,2
CHINQUAPIN PREPARATORY SCHOOL,TX,harris,Highlands,77562,146,17.0,8.5882352941,3,2
WHITE ROCK MONTESSORI,TX,dallas,Dallas,75228,136,18.6,7.311827957,3,1
FIRST BAPTIST SCHOOL,TX,cameron,Brownsville,78520,187,16.5,11.333333333,2,3
BAY AREA CHRISTIAN SCHOOL,TX,galveston,League City,77573,762,60.0,12.7,2,3
ABILENE CHRISTIAN SCHOOLS,TX,taylor,Abilene,79601,380,9.5,40.0,2,3
ODESSA CHRISTIAN SCHOOL,TX,ector,Odessa,79761,108,12.8,8.4375,2,1
WONDERLAND SCHOOL,TX,hays,San Marcos,78666,46,5.0,9.2,2,1
MONTESSORI EPISCOPAL SCHOOL,TX,denton,Lewisville,75077,11,2.0,5.5,2,1
ST MATTHEW'S EPISCOPAL SCHOOL,TX,hidalgo,Edinburg,78539,48,10.6,4.5283018868,2,1
ABIDING WORD LUTHERAN SCHOOL,TX,harris,Houston,77090,71,7.0,10.142857143,2,1
CALVARY LUTHERAN SCHOOL,TX,dallas,Dallas,75238,82,5.6,14.642857143,2,1
ST PAULS EPISCOPAL DAY SCHOOL,TX,mclennan,Waco,76701,126,14.6,8.6301369863,2,1
TORAH DAY SCHOOL,TX,harris,Houston,77096,104,16.9,6.1538461538,2,1
SOUTHWEST ADVENTIST JUNIOR ACADEMY,TX,dallas,Dallas,75203,25,3.3,7.5757575758,2,1
MID VALLEY CHRISTIAN SCHOOL,TX,hidalgo,Weslaco,78596,68,6.9,9.8550724638,2,3
DALLAS CHRISTIAN ACADEMY,TX,dallas,Dallas,75204,100,9.9,10.101010101,2,3
ADVENT RIDGE ACADEMY,TX,hays,San Marcos,78666,47,5.0,9.4,2,3
CHISHOLM TRAIL ACADEMY,TX,johnson,Keene,76059,162,10.0,16.2,2,2
ST ALBANS EPISCOPAL DAY SCHOOL,TX,cameron,Harlingen,78550,131,32.0,4.09375,2,1
NORTHSIDE BAPTIST SCHOOL,TX,victoria,Victoria,77901,44,9.5,4.6315789474,2,1
JEFFERSON CHRISTIAN ACADEMY,TX,marion,Jefferson,75657,14,6.4,2.1875,2,2
SACRED HEART CATHOLIC SCHOOL,TX,lavaca,Hallettsville,77964,248,25.9,9.5752895753,1,3
NAZARETH ACADEMY CATHOLIC SCHOOL,TX,victoria,Victoria,77901,282,29.1,9.6907216495,1,1
ST RAPHAEL SCHOOL,TX,el paso,El Paso,79925,214,17.0,12.588235294,1,1
O'CONNELL COLLEGE PREPARATORY SCHOOL,TX,galveston,Galveston,77550,69,7.6,9.0789473684,1,2
ST MARY OF THE PURIFICATION CATHOLIC SCHOOL,TX,harris,Houston,77004,186,18.0,10.333333333,1,1
CALVARY BAPTIST SCHOOL,TX,montgomery,Conroe,77303,254,29.8,8.5234899329,2,3
BALCH SPRINGS CHRISTIAN ACADEMY,TX,dallas,Balch Springs,75180,71,9.0,7.8888888889,2,3
CLEBURNE CHRISTIAN ACADEMY,TX,johnson,Cleburne,76033,95,11.6,8.1896551724,2,3
SACRED HEART CATHOLIC SCHOOL,TX,cooke,Muenster,76252,182,19.8,9.1919191919,1,3
DALLAS ACADEMY,TX,dallas,Dallas,75218,143,26.0,5.5,3,3
KIRBY HALL SCHOOL,TX,travis,Austin,78705,94,17.1,5.4970760234,3,3
EL PASO ADVENTIST JUNIOR ACADEMY,TX,el paso,El Paso,79936,34,3.3,10.303030303,2,3
CALVARY CHRISTIAN ACADEMY,TX,tarrant,Fort Worth,76111,309,33.0,9.3636363636,2,3
URSULINE ACADEMY OF DALLAS,TX,dallas,Dallas,75229,870,102.3,8.504398827,1,2
ANN & NATE LEVINE ACADEMY,TX,collin,Dallas,75252,243,43.8,5.5479452055,2,1
BURLESON ADVENTIST SCHOOL,TX,johnson,Burleson,76028,73,8.0,9.125,2,1
BURTON ADVENTIST ACADEMY,TX,tarrant,Arlington,76017,281,23.6,11.906779661,2,3
BOULEVARD BAPTIST CHRISTIAN SCHOOL,TX,johnson,Burleson,76028,51,8.8,5.7954545455,2,3
PARKVIEW CHRISTIAN ACADEMY,TX,mclennan,Waco,76708,96,7.9,12.151898734,2,3
NORTHEAST CHRISTIAN ACADEMY,TX,el paso,El Paso,79924,75,12.0,6.25,2,3
CENTRAL CHRISTIAN ACADEMY,TX,harris,Houston,77055,39,5.0,7.8,2,3
CALVARY CHRISTIAN SCHOOL,TX,cameron,Harlingen,78550,140,15.0,9.3333333333,2,1
SCOFIELD CHRISTIAN SCHOOL,TX,dallas,Dallas,75231,137,13.1,10.458015267,2,1
SHELTON SCHOOL,TX,collin,Dallas,75252,1023,165.9,6.1663652803,3,3
FAIRHILL SCHOOL,TX,dallas,Dallas,75248,90,21.3,4.2253521127,3,3
THE EMERY/WEINER SCHOOL,TX,harris,Houston,77025,576,63.8,9.0282131661,2,2
HILL SCHOOL OF FORT WORTH,TX,tarrant,Fort Worth,76133,104,20.4,5.0980392157,3,3
NOTRE DAME SCHOOL,TX,dallas,Dallas,75204,132,21.1,6.2559241706,1,3
THE MONTESSORI SCHOOL OF SAN ANTONIO,TX,bexar,San Antonio,78258,246,48.8,5.0409836066,3,1
FIRST BAPTIST ACADEMY OF UNIVERSAL CITY,TX,bexar,Universal City,78148,256,41.0,6.243902439,2,3
TOWN EAST CHRISTIAN SCHOOL,TX,bexar,San Antonio,78222,83,14.0,5.9285714286,2,3
TRINITY CHRISTIAN ACADEMY,TX,bexar,San Antonio,78247,121,15.4,7.8571428571,2,3
BRAZOSPORT CHRISTIAN SCHOOL,TX,brazoria,Lake Jackson,77566,218,30.0,7.2666666667,2,3
LIVING STONES CHRISTIAN SCHOOL,TX,brazoria,Alvin,77511,179,18.0,9.9444444444,2,3
BRACKEN CHRISTIAN SCHOOL,TX,comal,Bulverde,78163,373,24.3,15.349794239,2,3
ST JAMES EPISCOPAL SCHOOL OF DALLAS,TX,dallas,Dallas,75238,10,7.3,1.3698630137,2,1
ST PHILIPS SCHOOL & COMMUNITY CENTER,TX,dallas,Dallas,75215,162,42.9,3.7762237762,2,1
WHITE ROCK NORTH SCHOOL,TX,dallas,Dallas,75238,49,5.0,9.8,3,1
FIREWHEEL CHRISTIAN ACADEMY,TX,dallas,Garland,75040,70,8.1,8.6419753086,2,1
LIBERTY CHRISTIAN SCHOOL,TX,denton,Argyle,76226,1004,121.0,8.2975206612,2,3
THE WALDEN SCHOOL,TX,fort bend,Sugar Land,77479,8,1.0,8.0,3,1
EMMANUEL CHRISTIAN SCHOOL,TX,gonzales,Gonzales,78629,18,3.6,5.0,2,3
GRAYSON CHRISTIAN SCHOOL,TX,grayson,Sherman,75090,125,17.9,6.9832402235,2,3
LONGVIEW CHRISTIAN ACADEMY,TX,gregg,Longview,75604,78,12.5,6.24,2,3
LONGVIEW CHRISTIAN SCHOOL,TX,gregg,Longview,75601,356,25.5,13.960784314,2,3
THE VILLAGE SCHOOL,TX,harris,Houston,77077,1258,156.4,8.0434782609,3,3
THE POST OAK SCHOOL,TX,harris,Bellaire,77401,355,35.0,10.142857143,3,3
NORTHWOOD MONTESSORI SCHOOL,TX,harris,Houston,77014,33,3.0,11.0,3,1
BAYTOWN CHRISTIAN ACADEMY,TX,harris,Baytown,77521,228,22.0,10.363636364,2,3
GREENVILLE CHRISTIAN SCHOOL,TX,hunt,Greenville,75402,223,21.4,10.420560748,2,3
ST PETER'S EPISCOPAL SCHOOL,TX,kerr,Kerrville,78028,16,2.0,8.0,2,1
TRINITY CHRISTIAN SCHOOL,TX,lubbock,Lubbock,79413,627,53.8,11.654275093,2,3
CENTRAL BAPTIST ACADEMY,TX,montgomery,Pinehurst,77362,37,6.0,6.1666666667,2,3
COMMUNITY CHRISTIAN SCHOOL,TX,orange,Orange,77632,66,12.1,5.4545454545,2,3
AMARILLO MONTESSORI ACADEMY,TX,randall,Amarillo,79110,21,4.0,5.25,3,1
SAN JACINTO CHRISTIAN ACADEMY,TX,potter,Amarillo,79116,270,33.1,8.1570996979,2,3
COVENANT CHRISTIAN ACADEMY,TX,tarrant,Colleyville,76034,504,58.8,8.5714285714,2,3
LAKE COUNTRY CHRISTIAN SCHOOL,TX,tarrant,Fort Worth,76179,437,47.5,9.2,2,3
FAITH ACADEMY,TX,victoria,Victoria,77903,238,14.4,16.527777778,2,3
ST MICHAEL'S CATHOLIC ACADEMY,TX,travis,Austin,78735,393,44.0,8.9318181818,1,2
ST ANNE CATHOLIC SCHOOL,TX,harris,Tomball,77375,253,24.4,10.368852459,1,1
CHRIST THE KING CATHEDRAL SCHOOL,TX,lubbock,Lubbock,79413,254,32.9,7.7203647416,1,3
WESTBURY CHRISTIAN SCHOOL,TX,harris,Houston,77096,276,33.8,8.1656804734,2,3
MEMORIAL LUTHERAN SCHOOL,TX,harris,Houston,77057,129,19.4,6.6494845361,2,3
EPISCOPAL HIGH SCHOOL,TX,harris,Bellaire,77401,797,101.0,7.8910891089,2,2
PINES MONTESSORI SCHOOL,TX,harris,Kingwood,77339,106,18.0,5.8888888889,3,1
FORT WORTH ACADEMY,TX,tarrant,Fort Worth,76132,169,24.5,6.8979591837,3,1
COUNTRY DAY SCHOOL OF ARLINGTON,TX,tarrant,Arlington,76012,6,2.0,3.0,3,1
ST THERESAS CATHOLIC SCHOOL,TX,travis,Austin,78731,289,32.0,9.03125,1,1
OUR LADY QUEEN OF PEACE CATHOLIC SCHOOL,TX,brazoria,Richwood,77531,135,14.1,9.5744680851,1,1
BISHOP GARRIGA MIDDLE SCHOOL,TX,nueces,Corpus Christi,78415,169,12.4,13.629032258,1,1
ALL SAINTS EPISCOPAL SCHOOL,TX,tarrant,Fort Worth,76108,995,115.4,8.6221837088,2,3
AL-HADI SCHOOL OF ACCELERATIVE LEARNING,TX,harris,Houston,77082,321,33.4,9.6107784431,2,3
ALL SAINTS CATHOLIC SCHOOL,TX,collin,Dallas,75252,263,26.5,9.9245283019,1,1
FORT WORTH COUNTRY DAY,TX,tarrant,Fort Worth,76109,1097,118.1,9.2887383573,3,3
DENTON CALVARY ACADEMY,TX,denton,Denton,76202,221,6.9,32.028985507,2,3
CENTRAL TEXAS CHRISTIAN SCHOOL,TX,bell,Temple,76502,355,36.5,9.7260273973,2,3
COVENANT CLASSICAL SCHOOL,TX,tarrant,Fort Worth,76108,451,46.3,9.7408207343,2,3
THE DISCOVERY SCHOOL,TX,hidalgo,Edinburg,78539,76,8.4,9.0476190476,3,1
FAITH WEST ACADEMY,TX,harris,Katy,77493,302,62.4,4.8397435897,2,3
FIRST BAPTIST ACADEMY DALLAS,TX,dallas,Dallas,75228,278,27.4,10.145985401,2,3
FAITH ACADEMY OF MARBLE FALLS,TX,burnet,Marble Falls,78654,304,33.5,9.0746268657,2,3
GREENHILL SCHOOL,TX,dallas,Addison,75001,1302,240.0,5.425,3,3
THE HOCKADAY SCHOOL,TX,dallas,Dallas,75229,1079,125.5,8.5976095618,3,3
HOLY FAMILY CATHOLIC SCHOOL,TX,williamson,Austin,78717,613,34.3,17.871720117,1,1
HOUSTON CHRISTIAN HIGH SCHOOL,TX,harris,Houston,77043,476,49.4,9.6356275304,2,2
IMMANUEL LUTHERAN SCHOOL,TX,hidalgo,Mercedes,78570,15,1.6,9.375,2,1
LAGUNA MADRE CHRISTIAN ACADEMY,TX,cameron,Laguna Vista,78578,33,3.0,11.0,2,3
LAKELAND CHRISTIAN ACADEMY,TX,denton,Lewisville,75067,154,14.4,10.694444444,2,3
LEGACY CHRISTIAN ACADEMY,TX,denton,Frisco,75034,1058,88.3,11.981879955,2,3
TORAH DAY SCHOOL OF DALLAS,TX,collin,Dallas,75252,320,36.3,8.8154269972,2,1
MONTESSORI LEARNING COTTAGE,TX,harris,Houston,77063,10,3.6,2.7777777778,3,1
EXCELLENT COVENANT CHRISTIAN ACADEMY,TX,bell,Killeen,76543,10,3.8,2.6315789474,3,1
PIPE CREEK CHRISTIAN SCHOOL,TX,bandera,Pipe Creek,78063,36,8.9,4.0449438202,2,3
REGENTS SCHOOL OF AUSTIN,TX,travis,Austin,78735,1043,110.6,9.4303797468,2,3
STILL CREEK CHRISTIAN ACADEMY,TX,brazos,Bryan,77808,35,9.3,3.7634408602,2,3
SAN MARTIN DE PORRES CATHOLIC SCHOOL,TX,hidalgo,Weslaco,78596,26,2.6,10.0,1,1
ST HELEN CATHOLIC SCHOOL,TX,brazoria,Pearland,77581,294,23.5,12.510638298,1,1
TRINITY SCHOOL,TX,midland,Midland,79707,508,73.6,6.902173913,2,3
