school_name,state,county,city,zip_code,students,teachers_fte,student_teacher_ratio,religion_code,school_level_code
CHRIST THE REDEEMER CATHOLIC SCHOOL,TX,harris,Houston,77065,342,32.0,10.6875,1,1
CYPRESSWOOD MONTESSORI SCHOOL,TX,harris,Spring,77379,2,1.6,1.25,3,1
MONTESSORI VILLA-THE WOODLANDS,TX,montgomery,Spring,77380,47,2.5,18.8,3,1
HOPE SCHOOL,TX,blanco,Johnson City,78636,7,2.0,3.5,2,1
KIDS FIRST CHRISTIAN ACADEMY,TX,cherokee,Jacksonville,75766,5,1.0,5.0,2,1
CORAM DEO ACADEMY,TX,denton,Flower Mound,75022,750,46.1,16.268980477,2,3
PRIMROSE OF FRISCO WEST,TX,denton,Frisco,75036,17,2.0,8.5,3,1
PREMIER ACADEMY OF TROPHY CLUB,TX,denton,Trophy Club,76262,10,1.6,6.25,2,1
TAS MONTESSORI SCHOOL,TX,lubbock,Wolfforth,79382,18,3.9,4.6153846154,3,1
CLEARVIEW SUDBURY SCHOOL,TX,travis,Austin,78722,20,2.0,10.0,3,3
MARIMONT MONTESSORI SCHOOL INC,TX,travis,Pflugerville,78660,3,3.0,1.0,3,1
CONCORDIA HIGH SCHOOL,TX,travis,Pflugervile,78660,107,10.8,9.9074074074,2,2
CLEARVIEW SUDBURY SCHOOL,TX,travis,Austin,78722,20,3.3,6.0606060606,3,3
HYDE PARK MONTESSORI,TX,travis,Austin,78751,4,1.0,4.0,3,1
SCHOOL IN THE HILLS,TX,travis,Austin,78732,11,8.0,1.375,3,1
INTERNATIONAL SCHOOL OF TEXAS,TX,travis,Austin,78734,158,30.4,5.1973684211,3,1
THE MAGNOLIA SCHOOL,TX,travis,Austin,78738,134,17.0,7.8823529412,3,1
ST ANDREWS EPISCOPAL SCHOOL,TX,travis,Austin,78735,412,67.3,6.1218424963,2,2
CITY SCHOOL OF TEXAS,TX,travis,Austin,78741,88,12.6,6.9841269841,2,1
MARIPOSA MONTESSORI SCHOOL,TX,travis,Austin,78745,51,33.9,1.5044247788,3,1
HEADWATERS SCHOOL,TX,travis,Austin,78701,410,65.8,6.2310030395,3,3
HOPE CHILDREN'S CENTER,TX,travis,Austin,78750,15,1.5,10.0,2,3
"NORTHWEST MONTESSORI HOUSE, INC",TX,travis,Austin,78756,28,4.0,7.0,3,1
BRIGHT MINDS EARLY LEARNING CENTER,TX,dallas,Dallas,75233,4,1.0,4.0,2,1
AUTISM TREATMENT CENTER DAY SCHOOL PROGRAM,TX,dallas,Dallas,75243,41,8.0,5.125,3,3
CARLISLE SCHOOL,TX,dallas,Dallas,75209,6,1.0,6.0,3,1
CISTERCIAN PREPARATORY SCHOOL,TX,dallas,Irving,75039,357,55.8,6.3978494624,1,2
CY FAIR MONTESSORI SCHOOL,TX,harris,Houston,77064,10,2.0,5.0,3,1
KATY MONTESSORI SCHOOL,TX,harris,Houston,77077,2,1.0,2.0,3,1
KINWEST MONTESSORI ACADEMY,TX,dallas,Irving,75063,23,5.0,4.6,3,1
LIVINGSTON MONTESSORI SCHOOL,TX,polk,Livingston,77351,42,5.8,7.2413793103,3,1
SEMINOLE MENNONITE SCHOOL,TX,gaines,Seminole,79360,297,24.0,12.375,2,3
SPRINGHILL MONTESSORI SCHOOL,TX,dallas,Dallas,75208,36,4.0,9.0,3,1
BECKER EARLY CHILDHOOD CENTER,TX,harris,Houston,77005,12,3.0,4.0,2,1
SAN FRANCISCO NATIVITY ACADEMY,TX,harris,Houston,77081,55,7.0,7.8571428571,2,1
SEMINOLE MENNONITE SCHOOL,TX,gaines,Seminole,79360,296,26.0,11.384615385,2,3
MENNONITE SCHOOL WESTSIDE,TX,gaines,Seminole,79360,124,8.0,15.5,2,1
EASTSIDE CHRISTIAN SCHOOL,TX,polk,Livingston,77351,36,6.6,5.4545454545,2,3
PRIMROSE SCHOOL OF CLEAR LAKE,TX,harris,Houston,77062,5,1.0,5.0,3,1
PRIMROSE SCHOOL OF EAGLE SPRINGS,TX,harris,Humble,77346,7,1.0,7.0,3,1
