county,population,median_income,poverty_rate,bachelors_or_higher_pct,private_school_count,private_enrollment,private_teachers_fte,avg_student_teacher_ratio,private_student_teacher_ratio,private_schools_per_100k,private_enrollment_per_100k,public_student_count,district_count,avg_econ_disadv_pct,avg_attendance_rate,avg_chronic_absenteeism_rate,avg_ccmr_rate,avg_graduation_rate
briscoe,1290,35446,24.353954581049333,15.74642126789366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,1.0,51.2,96.6,7.1,76.2,100.0
brooks,7059,30566,33.21630285452603,19.10866910866911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1179.0,1.0,85.2,90.1,37.7,11.9,86.7
brown,38159,53792,13.284478483663012,19.886192342478143,2.0,60.0,22.9,4.47972972975,2.620087336244542,5.241227495479441,157.23682486438324,6098.0,7.0,58.052951787471294,94.41033125614955,15.703000983929158,13.657789439160382,96.95833060019679
burleson,17958,71745,12.45903491919991,22.464668426774345,1.0,84.0,8.6,9.7674418605,9.767441860465116,5.568548836173293,467.7581022385567,3088.0,3.0,65.18607512953368,93.76188471502591,19.011690414507772,39.65404792746114,97.32098445595855
burnet,49684,71482,7.834661067539472,28.117435117941792,3.0,376.0,44.1,6.420708955233334,8.526077097505668,6.038161178649061,756.7828677240158,7196.0,2.0,62.28132295719845,94.28813229571985,15.248443579766537,33.907198443579766,96.79708171206227
caldwell,46141,66779,14.013319952559073,16.690661605915842,3.0,152.0,28.0,9.513888888766669,5.428571428571429,6.5018096703582495,329.4250232981513,8432.0,3.0,76.48932637571157,91.98472485768501,26.755360531309297,18.12998102466793,89.37843927893738
calhoun,20127,62267,9.205020920502092,16.20530141713782,1.0,109.0,13.1,8.320610687,8.320610687022901,4.9684503403388485,541.5610870969344,3502.0,1.0,65.8,93.3,19.600000000000005,52.1,98.8
callahan,13869,63906,8.790646693459992,22.87359868353389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2602.0,4.0,48.145465026902386,94.9511145272867,12.797886241352805,25.363604919292847,97.45687932359724
cameron,421854,47435,25.34448807151126,19.47475102846931,14.0,2072.0,232.3,8.19347287605,8.919500645716745,3.3186837152190094,491.1651898524134,84066.0,10.0,82.82802321985106,92.440201746247,25.276881259962416,40.12008540908334,94.54270454166965
camp,12543,53968,21.534395771602465,20.7275390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2242.0,1.0,75.7,95.2,10.9,67.8,100.0
carson,5801,83199,7.50260507120528,25.224071702944943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.0,3.0,28.08216619981326,95.00046685340803,13.184126984126985,52.59906629318394,96.99010270774976
cass,28637,54303,18.498174988482937,17.223137196187054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5265.0,7.0,60.0075403608737,94.26279202279201,17.507369420702755,40.24714150047484,98.63082621082621
castro,7381,59886,12.440060282230442,19.493220715714603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524.0,3.0,69.57906824146981,94.39947506561681,14.31476377952756,46.63300524934383,96.8257874015748
chambers,47037,106103,13.702380697739086,22.789081554241424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10957.0,3.0,37.20527516656019,94.84336953545679,11.537263849593868,42.875960573149584,99.22793647896322
cherokee,50824,56971,16.576884889198723,16.17325710180501,1.0,5.0,1.0,5.0,5.0,1.967574374311349,9.837871871556745,8015.0,5.0,80.11777916406739,94.60104803493451,14.482245789145352,33.99006862133499,94.77733000623832
childress,6781,56063,15.083693812300169,14.640496695373525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.0,1.0,57.1,94.7,16.5,13.4,94.3
